,3.68,-6.86,-6.48
,3.62,-6.90,-6.14
,3.49,-6.80,-6.13
,3.49,-6.76,-6.26
,3.40,-6.70,-6.39
,3.34,-6.79,-6.38
,3.39,-6.81,-6.31
,3.33,-6.74,-6.34
,3.27,-6.73,-6.45
,3.31,-6.76,-6.43
,3.28,-6.79,-6.37
,3.29,-6.78,-6.39
,3.33,-6.77,-6.41
,3.28,-6.74,-6.38
,3.26,-6.77,-6.32
,3.23,-6.72,-6.36
,3.50,-6.84,-6.62
,3.34,-6.72,-6.38
,3.23,-6.62,-6.48
,3.22,-6.87,-6.29
,3.04,-6.51,-7.66
,3.15,-6.76,-6.34
,3.11,-6.59,-6.64
,3.39,-6.68,-6.57
,2.97,-6.40,-6.98
,3.16,-6.67,-6.56
,3.07,-6.60,-6.46
,2.95,-6.54,-6.77
,2.96,-6.69,-6.71
,3.31,-7.26,-5.95
,2.48,-7.82,-5.38
,-3.54,-8.01,-4.02
,-6.69,-6.27,-2.91
,-7.16,-5.14,-5.56
,-6.57,-6.32,-2.32
,-7.19,-5.85,-3.57
,-8.84,-5.91,-3.97
,-6.21,-6.84,-1.58
,-7.58,-3.95,-4.41
,-7.25,-5.99,-1.86
,-7.76,-5.83,-2.62
,-8.98,-5.39,-1.79
,-7.74,-5.50,-0.46
,-8.44,-6.08,-1.25
,-7.05,-6.63,-1.74
,-7.66,-5.77,-2.88
,-9.55,-4.38,-1.18
,-7.45,-5.66,-1.92
,-7.02,-3.91,-6.37
,-8.11,-4.14,-4.49
,-7.67,-5.51,-1.55
,-7.80,-5.52,-5.57
,-7.80,-1.41,-4.62
,-7.14,-5.79,-2.78
,-6.90,-9.46,-7.22
,-10.03,-2.33,2.80
,-8.25,-3.79,-2.42
,-8.62,-4.07,-1.42
,-5.32,-6.79,-3.11
,-7.28,-4.92,-4.03
,-7.68,-5.08,-2.43
,-7.37,-5.36,-3.12
,-5.36,-6.02,-3.05
,-6.35,-5.89,-3.42
,-6.56,-5.53,-3.95
,-6.16,-5.89,-4.68
,-5.95,-5.54,-3.92
,-7.32,-4.59,-4.18
,-7.48,-4.07,-4.57
,-6.60,-3.66,-5.72
,-7.74,-5.09,-2.65
,-6.91,-5.32,-4.34
,-10.02,-1.94,-2.35
,-7.30,-4.83,-3.87
,-7.08,-4.72,-4.30
,-7.44,-4.85,-3.57
,-7.16,-4.64,-4.24
,-7.56,-4.44,-3.80
,-7.43,-4.50,-3.96
,-7.33,-4.38,-4.25
,-7.06,-4.68,-4.45
,-7.19,-4.70,-4.22
,-7.28,-4.52,-4.23
,-7.36,-4.36,-4.20
,-7.34,-4.50,-4.11
,-7.42,-4.48,-4.03
,-7.43,-4.36,-4.12
,-7.59,-4.43,-3.80
,-7.49,-4.44,-3.75
,-7.53,-4.38,-3.92
,-5.30,-3.61,-5.00
,-7.70,-4.24,-4.59
,-8.79,-3.58,-3.33
,-9.83,-2.52,-3.25
,-7.66,-4.96,-2.94
,-4.84,-3.67,-4.51
,-9.01,-3.16,-4.40
,-7.72,-4.70,-2.58
,-7.38,-5.48,-4.59
,-9.12,-2.33,-1.71
,-7.72,-3.05,-3.82
,-7.16,-3.53,-2.02
,-7.47,-5.19,-2.75
,-7.69,-3.34,-4.56
,-7.25,-4.00,-4.75
,-7.72,-4.46,-4.26
,-7.73,-4.20,-3.68
,-7.87,-4.10,-3.46
,-7.53,-5.26,-2.45
,-7.81,-4.50,-2.45
,-7.72,-5.24,-1.98
,-7.76,-4.53,-2.47
,-7.51,-5.57,-3.02
,-7.91,-5.01,-3.04
,-8.75,-3.48,-3.26
,-7.76,-5.16,-2.13
,-6.71,-4.30,-2.98
,-7.53,-4.19,-3.48
,-7.73,-4.76,-2.60
,-5.90,-5.10,-3.40
,-8.22,-3.11,-2.72
,-6.79,-4.54,-1.17
,-8.02,-2.79,-1.52
,-8.05,-5.25,-1.53
,-7.06,-5.32,-3.99
,-7.42,-5.61,-2.84
,-9.26,-3.39,-2.76
,-7.89,-3.54,-3.93
,-9.08,-3.19,-1.52
,-7.95,-4.71,-2.14
,-7.77,-4.16,-3.50
,-8.08,-4.79,-2.14
,-7.95,-4.32,-3.06
,-8.05,-4.16,-2.96
,-8.15,-3.99,-2.94
,-8.20,-3.91,-2.89
,-8.15,-3.95,-3.00
,-7.64,-5.15,-3.22
,-6.61,-5.13,-2.80
,-7.99,-5.83,-6.47
,-7.75,-4.35,-2.44
,-6.78,-5.21,-4.35
,-9.84,-3.53,-0.72
,-7.69,-4.36,-3.78
,-7.63,-4.42,-3.71
,-7.91,-4.01,-3.51
,-7.94,-3.81,-3.55
,-8.00,-3.76,-3.55
,-6.06,-5.80,-4.76
,-6.08,-5.48,-5.05
,-6.01,-5.47,-5.09
,-3.38,-7.49,-4.25
,-4.58,-8.70,-4.31
,-3.97,-7.51,-3.25
,-3.72,-8.83,-2.40
,-4.57,-5.60,-6.50
,-4.02,-5.60,-6.84
,-4.31,-5.15,-7.11
