,EMG,X-AXIS,Y-AXIS,Z-AXIS
,0,7.02,-0.55,5.61
,0,7.05,-0.55,5.57
,0,7.04,-0.55,5.61
,0,7.05,-0.53,5.58
,0,7.04,-0.54,5.57
,0,7.05,-0.49,5.60
,0,7.07,-0.58,5.58
,0,7.06,-0.50,5.55
,0,7.04,-0.53,5.64
,0,7.02,-0.57,5.58
2024-06-22 22:32:34.3862021229,5.25,0.03,6.97
2024-06-22 22:32:34.6662262479,5.25,0.08,6.98
2024-06-22 22:32:34.8656422407,5.24,0.04,6.98
2024-06-22 22:32:35.110645720,5.25,0.04,6.97
2024-06-22 22:32:35.2781642374,5.24,0.03,6.98
2024-06-22 22:32:35.458308707,5.26,0.03,6.97
2024-06-22 22:32:35.797461195,5.26,0.06,6.98
2024-06-22 22:32:36.1686642290,5.28,0.05,6.96
2024-06-22 22:32:36.312519190,5.22,0.03,6.99
2024-06-22 22:32:36.6553510,5.25,0.03,6.98
2024-06-22 22:32:37.2566590,5.24,0.06,6.97
2024-06-22 22:32:37.578481180,5.23,0.03,6.96
2024-06-22 22:32:37.8309270,5.27,0.05,6.97
2024-06-22 22:32:37.9488830,5.25,0.05,7.00
2024-06-22 22:32:38.1219482092,5.24,0.04,6.98
2024-06-22 22:32:38.324741651,5.26,0.02,6.97
2024-06-22 22:32:38.588614172,5.25,0.05,6.99
2024-06-22 22:32:38.9510290,5.19,0.03,7.01
2024-06-22 22:32:39.1908300,5.21,0.07,6.97
2024-06-22 22:32:39.3596990,5.24,0.05,6.97
2024-06-22 22:32:39.5577480,5.24,0.05,6.99
2024-06-22 22:32:39.6573470,5.24,0.03,6.98
2024-06-22 22:32:39.8519930,5.25,0.06,6.97
2024-06-22 22:32:40.0332530,5.25,0.06,6.95
2024-06-22 22:32:40.2166190,5.24,0.06,6.97
2024-06-22 22:32:40.3829190,5.23,0.05,6.98
2024-06-22 22:32:40.7495090,5.24,0.05,6.96
2024-06-22 22:32:40.9000170,5.25,0.04,6.99
2024-06-22 22:32:41.1718940,5.22,0.05,6.99
2024-06-22 22:32:41.6074490,5.23,0.06,6.97
2024-06-22 22:32:42.0492730,5.22,0.06,6.94
2024-06-22 22:32:42.1834670,5.24,0.03,7.00
2024-06-22 22:32:42.4716710,5.24,0.06,6.98
2024-06-22 22:32:42.8432470,5.26,0.06,6.97
2024-06-22 22:32:42.9353310,5.25,0.05,6.99
2024-06-22 22:32:43.0848700,5.25,0.07,6.97
2024-06-22 22:32:43.2581250,5.22,0.04,6.98
2024-06-22 22:32:43.5955060,5.23,0.04,6.98
2024-06-22 22:32:43.8003260,5.23,0.06,6.97
2024-06-22 22:32:44.0530140,5.24,0.03,6.96
2024-06-22 22:32:44.3167500,5.22,0.05,6.97
2024-06-22 22:32:44.7327080,5.23,0.04,6.97
2024-06-22 22:32:44.9170570,5.24,0.05,7.01
2024-06-22 22:32:45.2449920,5.24,0.07,6.99
2024-06-22 22:32:46.4780660,5.24,0.07,6.99
2024-06-22 22:32:46.6932040,5.22,0.01,6.99
2024-06-22 22:32:47.1554500,5.26,0.07,7.00
2024-06-22 22:32:47.3638240,5.23,0.07,6.98
2024-06-22 22:32:47.8116190,5.25,0.05,6.99
2024-06-22 22:32:48.6356050,5.22,0.06,6.96
2024-06-22 22:32:48.8360890,5.24,0.06,6.99
2024-06-22 22:32:49.0064360,5.25,0.07,6.98
2024-06-22 22:32:49.2073490,5.24,0.05,6.95
2024-06-22 22:32:49.4621750,5.23,0.10,6.98
2024-06-22 22:32:49.6610060,5.23,0.08,6.99
2024-06-22 22:32:49.8298840,5.23,0.09,6.96
2024-06-22 22:32:50.3923970,5.23,0.04,6.95
2024-06-22 22:32:50.6852550,5.25,0.07,6.94
2024-06-22 22:32:51.0407710,5.22,0.02,7.00
2024-06-22 22:32:51.5517630,5.23,0.06,6.97
2024-06-22 22:32:51.9015950,5.23,0.04,6.99
2024-06-22 22:32:52.2043620,5.24,0.06,7.00
2024-06-22 22:32:53.6122290,5.22,0.05,6.97
